num_trips,seed,selection,total_time,rmp_time,pp_time,sel_time,iterations,final_columns,objective,buses,columns_generated,columns_selected
40,4000,no_selection,16.550304174423218,3.3148486614227295,13.053406000137329,0.005003929138183594,168,1156,1706043.0,9.0,1076,1076
40,4000,milp,20.453129529953003,2.2016100883483887,12.966886281967163,5.136982202529907,158,790,1706053.0,9.0,1291,710
40,4000,gnn,1.2405266761779785,0.034995317459106445,1.0535259246826172,0.0480046272277832,11,125,3658219.5,13.0,133,45
40,4001,no_selection,16.915597677230835,3.096611738204956,13.65589952468872,0.004008054733276367,150,1154,1552920.75,7.875,1074,1074
40,4001,milp,16.799882411956787,1.4606716632843018,10.976379632949829,4.219050884246826,121,679,1555613.19,7.84,1051,599
40,4001,gnn,15.668071985244751,1.394573450088501,13.881590366363525,0.26287198066711426,142,481,1630202.279434851,7.6923076923076925,1357,401
80,8000,no_selection,215.74079537391663,32.284826040267944,183.36939930915833,0.00851297378540039,300,3227,2832127.8333333335,13.0,3077,3067
80,8000,milp,176.21447682380676,10.707555532455444,134.33609771728516,30.385561227798462,216,1406,2866404.881255946,13.098395417723104,2516,1246
80,8000,gnn,13.528764486312866,0.18409371376037598,12.623666524887085,0.11400222778320312,20,215,7794190.25,22.0,218,55
80,8001,no_selection,227.30264258384705,33.46902275085449,193.75200963020325,0.011018753051757812,300,3378,2910390.000000001,15.0,3233,3218
80,8001,milp,274.7008969783783,22.2646586894989,193.67931842803955,58.65355110168457,300,1945,2910627.000000002,14.999999999999996,3438,1785
80,8001,gnn,12.558683156967163,0.14699459075927734,11.652676105499268,0.07600212097167969,17,218,8611006.61904762,27.0,219,58
